month,tweet_count
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,1
2007-11,1
2007-12,1
2008-01,2
2008-02,0
2008-03,1
2008-04,0
2008-05,1
2008-06,8
2008-07,3
2008-08,0
2008-09,1
2008-10,1
2008-11,3
2008-12,3
2009-01,8
2009-02,7
2009-03,30
2009-04,47
2009-05,122
2009-06,127
2009-07,128
2009-08,217
2009-09,128
2009-10,80
2009-11,142
2009-12,94
2010-01,188
2010-02,167
2010-03,209
2010-04,253
2010-05,356
2010-06,362
2010-07,425
2010-08,479
2010-09,404
2010-10,380
2010-11,1316
2010-12,1134
2011-01,1411
2011-02,2705
2011-03,702
2011-04,1000
2011-05,842
2011-06,974
2011-07,1400
2011-08,1086
2011-09,859
2011-10,992
2011-11,1187
2011-12,1350
2012-01,2137
2012-02,2780
2012-03,4568
2012-04,5191
2012-05,5587
2012-06,5423
2012-07,8021
2012-08,7368
2012-09,6374
2012-10,7538
2012-11,8811
2012-12,9299
2013-01,12728
2013-02,10639
2013-03,12440
2013-04,12558
2013-05,12637
2013-06,13200
2013-07,11272
2013-08,13280
2013-09,11525
2013-10,11480
2013-11,11335
2013-12,10956
2014-01,13170
2014-02,9509
2014-03,9006
2014-04,8167
2014-05,8433
2014-06,9797
2014-07,9114
2014-08,7386
2014-09,5613
2014-10,6015
2014-11,5195
2014-12,6881
2015-01,7199
2015-02,4907
2015-03,4608
2015-04,3804
2015-05,3762
2015-06,3077
2015-07,2793
2015-08,3156
2015-09,2360
2015-10,2660
2015-11,3139
2015-12,3053
2016-01,2503
2016-02,1882
2016-03,2105
2016-04,2094
2016-05,1828
2016-06,2032
2016-07,1670
2016-08,1667
2016-09,1590
2016-10,2149
2016-11,2215
2016-12,2572
2017-01,2443
2017-02,1436
2017-03,1785
2017-04,1779
2017-05,1625
2017-06,1576
2017-07,2396
2017-08,1602
2017-09,1423
2017-10,1288
2017-11,1275
2017-12,1218
2018-01,1476
2018-02,1085
2018-03,1116
2018-04,1170
2018-05,1067
2018-06,1045
2018-07,1217
2018-08,1269
2018-09,1311
2018-10,1525
2018-11,1743
2018-12,1676
2019-01,1981
2019-02,1546
2019-03,1972
2019-04,1753
2019-05,2020
2019-06,1744
2019-07,2230
2019-08,1888
2019-09,1627
2019-10,1885
2019-11,1894
2019-12,1704
2020-01,2525
2020-02,2262
2020-03,2699
2020-04,4362
2020-05,4535
2020-06,6089
2020-07,9706
2020-08,10142
2020-09,8447
2020-10,8117
2020-11,8901
2020-12,7919
2021-01,8412
2021-02,6150
2021-03,8101
2021-04,8514
2021-05,11792
2021-06,12378
2021-07,13027
2021-08,14111
2021-09,13679
2021-10,13927
2021-11,10191
2021-12,10514
